metric,FY2023,FY2024,FY2025,Q1_2026,source,note
revenue_usd_m,387,671,1306,601,bsp-f1,"F-1 ~L523 income statement ($387,067 / $671,053 / $1,306,404 / Q1 2026 $601,321K). +73% / +95% / +132% YoY (~L1860/L1907). Q1 2025 base was $258,946K"
operating_income_usd_m,84.3,127.4,277.9,120.2,bsp-f1,"F-1 ~L523/L535 ($84,267 / $127,352 / $277,851 / Q1 $120,171K; Q1 2025 was $(4,615)K loss). Op margin 22/19/21/20%"
adj_operating_income_usd_m,137,299,613,308,bsp-f1,"F-1 ~L349/L529 (non-GAAP $137,441 / $299,481 / $613,247 / Q1 $308,011K; Q1 2025 $95,030K). Adj op margin 36/45/47/51% (~L350)"
gaap_net_income_usd_m,160.6,89.0,-0.2,27.5,bsp-f1,"F-1 ~L523 ($160,643 / $88,997 / $(204) / Q1 $27,465K; Q1 2025 was $(112,205)K). TRAP: falls to ~0 in 2025. 2023 inflated by a $103,134K income-tax BENEFIT line (~L523; composed of $65M+$22M+$16M items, ~L1904). 2025 near breakeven under $142.6M interest expense plus acquisition/amortization/reorg charges"
adj_net_income_usd_m,96,229,376,206,bsp-f1,"F-1 ~L529 (their preferred lens; $95,856 / $229,364 / $375,592 / Q1 $205,977K; Q1 2025 $48,502K). Adj net margin 25/34/29/34%"
net_revenue_retention_pct,93,91,95,94,bsp-f1,"F-1 ~L407 (transformed businesses retain). By business Q1'23-Q1'26 avg: 99% Evernote, 95% AOL, 91% StreamYard, 87% Remini (~L408)"
revenue_per_fte_spooner_usd_m,1.12,1.64,2.57,0.97,bsp-f1,"F-1 ~L307 (machine productivity rising; FY $1.12M/$1.64M/$2.57M, Q1 2026 $0.97M — quarterly, not annualized). AI a catalyst"
capital_deployed_usd_m,194,,,2010,bsp-f1,"F-1 ~L111: $194M in all of 2023 vs $2.01B in Q1 2026 alone (~10x scale-up); IRR hurdle (65% lev / 25% unlev) held constant across 2023-Q1 2026 (~L110)"
mau_m,111,290,389,500,bsp-f1,"F-1 ~L362 (Dec 2023/2024/2025 = 111/290/389M; March 2026 over 500M, ~L361). Not de-duplicated across products; scale indicator only (~L363-367)"
paying_customers_m,3,5,8,9,bsp-f1,"F-1 ~L362 (monthly paying customers Dec 2023/2024/2025 = 3/5/8M; March 2026 more than 9M, ~L361). Not de-duplicated"
fte_total,405,785,1834,2284,bsp-f1,"F-1 ~L2411 (405/785/1,834/2,284). Vast majority of growth from acquired teams, not hiring (~L2413, mostly transitioned out)"
fte_spooners,,,,621,bsp-f1,"F-1 ~L2425: 621 FTE Spooners = 27% of total FTE team members at Q1 2026. Talent team was 55 Spooners / 9% of Spooners (~L2457)"
organic_growth_pct,,7,13,,bsp-f1,"F-1 ~L1864/L1871 (organic revenue growth 7% in 2024, 13% in 2025). TRAP: total FY2025 growth +95%; ~82pp is inorganic (acquired, derived 95-13). Organic = same businesses vs last year, PRE-acquisition revenue included where applicable (definition ~L1878/L1880); much of the 13% is price hikes on a slowly-declining base, not new customers"
operating_cash_flow_usd_m,59,205,291,76,bsp-f1,"F-1 ~L523 (net cash from operating activities, restated: $59,154 / $204,895 / $290,600 / Q1 $75,654K; Q1 2025 $21,350K). vs ~$1.65B on acquisitions in Q1 2026 alone (net cash from investing $(1,647,942)K, ~L4275): OCF does NOT fund the acquisitions; debt+equity do"
total_debt_usd_m,,,,4356,bsp-f1,"F-1 ~L1562/L4503: net carrying amount of debt (incl. current portion) $4,356,067K at 31 Mar 2026 (total outstanding principal $4,479,899K). Dec 2025 was $2,670,882K"
cash_usd_m,,,,741,bsp-f1,"F-1 ~L1562/L4275: cash and cash equivalents $740,823K at 31 Mar 2026"
net_debt_usd_m,,,,3615,bsp-f1,"DERIVED from F-1 line items (4356-741); net debt is a defined term in the F-1: financial debt and capitalized lease obligations less available cash (~L1765). the leverage is the risk: the model runs on borrowed money against cash cows that lose users slowly"
interest_expense_usd_m,17.2,32.6,142.6,93.2,bsp-f1,"F-1 ~L523/L1893 ($17,173 / $32,605 / $142,601 / Q1 $93,184K; Q1 2025 $19,316K). +90% then +337% YoY, driven by acquisition financing (~L1896); a main reason GAAP net income is ~0 in 2025"
ipo_price_usd,,,,29,bsp-424b4,"424B4 ~L7/L19: final IPO price $29.00/share, Nasdaq 'BSP' (~L8). Total price to public $1,681,159,435 (~L19), of which proceeds to company before expenses $953.9M and to selling shareholders $653.7M; NET proceeds to company $933M (~L473), earmarked for general corporate purposes and new acquisitions (~L475). Prospectus dated 30 Jun 2026 (~L25). [The $26-28 range, ~$18.4B valuation and 1 Jul first-trade are press-only, not in the filing]"
